solver,variant,implementation,nranks,n1,n2,n3,m,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,forward_exchange_s_max,reduced_compute_s_max,backward_exchange_s_max,update_compute_s_max,compute_s_max,communication_s_max
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,3,10,device,0.051560767,0.05155505775,0.042939428,0.000607652,0.000291738,6.91639999999e-05,0.007764402,0.050995227,0.00067318
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,4,10,device,0.051641187,0.0516275215,0.04300725,0.000700922,0.000291478,6.43459999999e-05,0.007775839,0.051063069,0.000764037
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,5,10,device,0.051620406,0.05160851075,0.04296665,0.000683986,0.000291187,6.9925e-05,0.007778323,0.05103614,0.000746731
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,6,10,device,0.051575829,0.05156642725,0.042938187,0.000582694,0.000291577,7.12470000001e-05,0.007778894,0.051007246,0.000653941
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,7,10,device,0.051700967,0.0516833155,0.043065307,0.00073333,0.000291568,6.7181e-05,0.007784522,0.051141397,0.000797586
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,8,10,device,0.051597031,0.05158825275,0.04295326,0.000642564,0.000291357,7.43520000001e-05,0.007780997,0.05102298,0.000708213
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,9,10,device,0.051624963,0.0516145095,0.042931697,0.000672479,0.000291448,7.29289999999e-05,0.00777603,0.050999175,0.000743065
btdma,noncyclic,cuda-cxx,8,64,64,2048,5,4096,256,256,0,10,device,0.224297479,0.223927014625,0.026937474,0.187864495,0.00126565,0.005975217,0.003853943,0.031769326,0.193770949
btdma,noncyclic,cuda-cxx,8,64,64,2048,5,4096,256,256,1,10,device,0.026634359,0.026622234125,0.021313434,0.000895794,0.000568864,0.000128382,0.003827183,0.025699918,0.001012238
btdma,noncyclic,cuda-cxx,8,64,64,2048,5,4096,256,256,2,10,device,0.026639206,0.026622697,0.021320856,0.000908694,0.000570616,0.000119809,0.003821985,0.02570784,0.001024718
btdma,noncyclic,cuda-cxx,8,64,64,2048,5,4096,256,256,3,10,device,0.026616974,0.02660441725,0.021322398,0.000890687,0.000568513,0.000123044,0.003821675,0.025706167,0.001005489
btdma,noncyclic,cuda-cxx,8,64,64,2048,5,4096,256,256,4,10,device,0.02662141,0.02660990425,0.021327936,0.000893982,0.000570526,0.000121282,0.003824018,0.025709221,0.00100596
